method_mapped,category,size_total,x_model,y_model,x_past_rate,y_now_rate
agent-based simulation and modeling,Marginalized,108,0.08196372282466693,0.39876339064408806,0.006153193295141,0.0051759156129201
bibliometrics,Mainstream,4869,0.5833213773330176,0.890796545173171,0.2821981752599193,0.2318679158749918
case study,Marginalized,135,0.30410588007560974,0.1672497488133384,0.0099724167197114,0.0057655768852781
content analysis,Mainstream,634,0.6832141181303937,0.9299999999999999,0.0297050710799915,0.0323658520605385
delphi study,Declining,35,0.7860145189160591,0.0992111055144963,0.0025461489497135,0.0015069121404704
ethnography/field study,Marginalized,91,0.3732145003818757,0.11046290314831946,0.0065775514534266,0.0039310751490532
experiment,Marginalized,288,0.43,0.17167013594945166,0.0137916401442817,0.0146104959706479
focus group,Marginalized,91,0.2954254907888383,0.4277749482834341,0.0055166560577127,0.0042586647448077
grounded theory,Marginalized,70,0.28148434061551525,0.3421575699544453,0.0021217907914279,0.0039310751490532
interview,Mainstream,680,0.8951292099543843,0.6200868573737817,0.0379800551665605,0.0328244774945947
large language model,Emerging,89,0.35879740036601204,0.6345578650700621,0,0.005831094804429
machine learning,Mainstream,1487,0.7635436990053297,0.6481985711742434,0.0500742626776999,0.0819629168577606
meta analysis,Marginalized,52,0.43,0.39924126027417883,0.0006365372374283,0.0032103780383935
network analysis,Emerging,1085,0.13380671827274787,0.9298046339720782,0.0286441756842775,0.0622420231933433
observation,Declining,69,0.6337753338179,0.09881005929738422,0.0057288351368555,0.0027517526043372
patent analysis,Marginalized,387,0.35505203747511566,0.07,0.020793549755994,0.0189346786346065
qualitative comparative analysis,Marginalized,94,0.07,0.13864718453003136,0.006153193295141,0.0042586647448077
questionnaire,Mainstream,1449,0.7655118189013685,0.5700000000000001,0.0778697220454063,0.0708903885212605
spatio-temporal method,Marginalized,172,0.43,0.314107372713913,0.0067897305325694,0.0091725086811242
statistical analysis,Mainstream,1334,0.5700000000000001,0.6767614507596885,0.0685338425631232,0.0662386162615475
structural equation modeling,Marginalized,391,0.07,0.370734005958631,0.0048801188202843,0.0241105942475267
text mining,Emerging,513,0.16564789710937142,0.6360973601255451,0.008274984086569,0.0310554936775208
theoretical studies,Mainstream,5158,0.7737420416560215,0.8624135625311866,0.2580097602376405,0.2582716372927995
transaction log analysis,Declining,695,0.7082333538263839,0.3725788509486274,0.0670485890091237,0.0248312913581864
